OED OCCUPANCY CODE,VULNERABILITY RISK CODE,VULNERABILITY QUALITY CODE
1000,R,MQU
1050,R,MQU
1051,R,MQU
1052,R,MQU
1053,R,LQU
1054,R,MQU
1055,R,MQU
1056,R,MQU
1100,R,MQU
1101,R,MQU
1102,R,MQU
1103,R,MQU
1104,R,MQU
1105,R,MQU
1106,R,MQU
1107,R,MQU
1108,R,MQU
1109,R,MQU
1110,R,MQU
1111,R,MQU
1112,R,MQU
1113,R,MQU
1114,R,MQU
1115,R,MQU
1116,R,MQU
1117,R,MQU
1118,R,MQU
1119,R,MQU
1120,R,MQU
1121,R,MQU
1122,R,MQU
1123,R,MQU
1150,R,MQU
1151,R,MQU
1152,R,MQU
1153,R,MQU
1154,R,MQU
1155,R,MQU
1156,R,MQU
1157,R,MQU
1158,R,MQU
1159,R,MQU
