constructioncode,type,con_quality,con_id
5151,CON,MQU,1
5152,CON,MQU,1
5101,MAS,GQU,2
5102,MAS,GQU,2
5104,MAS,LQU,3
5103,MAS,MQU,4
5053,TIM,GQU,5
5051,TIM,LQU,6
5055,TIM,LQU,6
5052,TIM,MQU,7
5054,TIM,MQU,7
