AREA_LEVEL_NAMES,COUNTRY_KEY,AREA_LEVEL_MODEL_NAMES
Barisal,BGD,BGD-01
Chittagong,BGD,BGD-02
Dhaka,BGD,BGD-03
Khulna,BGD,BGD-04
Mymensingh,BGD,BGD-05
Rajshahi,BGD,BGD-06
Rangpur,BGD,BGD-07
Sylhet,BGD,BGD-08
BGD-01,BGD,BGD-01
BGD-02,BGD,BGD-02
BGD-03,BGD,BGD-03
BGD-04,BGD,BGD-04
BGD-05,BGD,BGD-05
BGD-06,BGD,BGD-06
BGD-07,BGD,BGD-07
BGD-08,BGD,BGD-08
